hard_day,[-0.02281655 -0.39486027 0.8980236]
semihard_day,[-0.13158312 0.05005663 0.56219147]
day,[-0.24034968 0.49497354 0.22635934]
day2,[-0.1528 -1.3118 1.5012]
presunset,[-0.29656195 0.54214905 -0.6357214]
sunset_hard_harder,[-0.5931239 1.0842981 -1.2714428]
sunsetred,[-0.1542 0.1676 -1.7730]
2minute,[-0.38232317 0.57014908 -0.95337988]
5minute,[0.0392783 -0.45814896 -0.31725404]
5minutes2,[-0.1544 -0.5920 -0.3295]
bluehour_hard,[0.40883675 -1.6698283 0.24425311]
bluehour_bit_dark,[-0.29560883 -1.5698522 -0.53503126]
night,[-0.49511418 -1.0065496 -1.0413212]
night2,[-0.1531 -1.5918 0.0850]
darknight,[-0.4466 -1.3072 -0.3449]
another_night,[0.00708078 -1.37503777 -0.32711325]
onemorenight,[0.20795877 -1.52243303 -0.04143007]
nightmore,[0.10751978 -1.4487354 -0.18427166]
